danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.413,0.53,-7.389,0.0326,0.472,1.31E-06,0.158,0.149,138.68,289867,70,74,1990,0,0
0.673,0.346,-12.803,0.0245,0.721,4.48E-06,0.0475,0.396,80.012,222493,56,59,1990,0,0
0.248,0.988,-3.74,0.144,5.87E-05,0.84,0.323,0.149,115.298,311200,62,72,1990,0,0
0.53,0.647,-11.221,0.0327,0.00223,0.485,0.454,0.726,154.818,235933,57,53,1990,0,0
0.454,0.821,-4.816,0.0324,0.0165,3.55E-06,0.13,0.414,108.533,250333,65,85,1990,0,0
0.462,0.628,-5.659,0.0274,0.0534,0.00025,0.12,0.0981,140.049,347760,62,59,1990,0,0
0.472,0.48,-11.893,0.0308,0.000204,0.00275,0.0914,0.126,123.023,286573,61,60,1990,0,0
0.679,0.66,-7.301,0.028,0.00938,0.258,0.118,0.356,114.209,294040,58,77,1990,0,0
0.608,0.669,-10.834,0.335,0.00435,0.0109,0.337,0.679,202.062,246533,58,67,1990,0,0
0.62,0.445,-17.154,0.382,0.00273,0.0145,0.333,0.587,202.134,248493,54,67,1990,0,0
0.683,0.495,-13.877,0.0422,0.47,6.98E-05,0.157,0.528,102,247000,58,62,1990,0,0
0.68,0.543,-14.876,0.141,0.857,0.000116,0.0881,0.796,111.62,230600,57,49,1990,0,0
0.497,0.432,-10.851,0.0928,0.714,0,0.609,0.654,73.251,167427,63,70,1990,0,0
0.435,0.911,-9.2,0.0428,0.0365,0.00119,0.152,0.37,134.949,343067,56,61,1990,0,0
0.563,0.429,-9.918,0.0235,0.542,0,0.115,0.385,89.338,192813,55,57,1990,0,0
0.306,0.639,-9.91,0.0336,0.0841,0,0.371,0.293,149.686,384467,54,60,1990,0,0
0.672,0.768,-9.142,0.0445,0.0382,5.51E-05,0.0837,0.942,102.487,249867,55,59,1990,0,0
0.39,0.309,-14.12,0.0265,0.504,0,0.0863,0.459,94.444,225227,59,65,1990,0,0
0.733,0.603,-8.673,0.044,0.592,0,0.0556,0.817,91.941,298347,66,68,1990,0,0
0.256,0.463,-10.959,0.0382,0.442,0,0.121,0.354,205.362,209293,60,85,1990,0,0
0.679,0.62,-10.943,0.0469,0.549,0.0189,0.0774,0.619,179.505,301573,65,68,1990,0,0
0.616,0.807,-11.4,0.0348,0.000303,2.37E-05,0.193,0.637,111.054,235360,56,60,1990,0,0
0.349,0.448,-11.554,0.0304,0.47,0.00257,0.242,0.187,107.833,273200,70,76,1990,0,0
0.579,0.824,-8.71,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,75,85,1991,0,0
0.502,0.912,-4.556,0.0564,2.55E-05,0.000173,0.106,0.72,116.761,301920,76,83,1991,0,0
0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,82,86,1991,0,0
0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,74,83,1991,0,0
0.558,0.364,-11.258,0.0265,0.0505,5.02E-06,0.0753,0.17,142.171,388733,71,85,1991,0,0
0.394,0.944,-6.506,0.0761,0.00178,4.54E-06,0.298,0.265,105.338,292581,76,80,1991,0,0
0.294,0.641,-9.316,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,81,83,1991,0,0
